sku,name,description,category,rating,reviewCount,price,image,url
2931137,All-Clad Cast-Aluminum Fondue Pot,"A spectacular piece for entertaining, All-Clad's fondue pot is equipped with a stovetop-safe cast-aluminum insert that offers the convenience of cooking and serving a fondue all in the same pot. The base is designed for maximum stability, and the…",cookware,5,11,199.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0428/img1o.jpg,https://www.williams-sonoma.com/products/all-clad-cast-aluminum-fondue-pot/
5010866,All-Clad Copper Core 10-Piece Cookware Set,"Elite chefs depend on All-Clad's Copper Core cookware because of its superb responsiveness to heat, essential for making reductions and sauces. This set includes all the essential pots and pans you'll need to perform a variety of culinary techniques.",cookware,4.4793,121,1499.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0275/all-clad-copper-core-10-piece-cookware-set-1-o.jpg,https://www.williams-sonoma.com/products/all-clad-copper-core-10-piece-cookware-set/
2761875,GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick Outdoor/Indoor Plancha Griddle,"GreenPan&amp;#8482;, the pioneering company behind PFOA-free nonstick ceramic cookware, elevates the art of healthy cooking outdoors with a collection specially designed for gas grill cooking. Each piece is expertly crafted of hard-anodized aluminum with…",cookware,4.75,20,129.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0681/greenpan-premiere-ceramic-nonstick-outdoor-indoor-plancha--1-o.jpg,https://www.williams-sonoma.com/products/greenpan-revolution-outdoor-plancha-griddle/
2589075,Le Creuset Stoneware Mini Round Cocotte,"Perfect for serving individual portions and sharable side dishes, this durable mini cocotte elevates the presentation of everything from pot pies and mac &amp;amp; cheese to lava cakes and fresh fruit crisps. Its 14-oz. capacity and tight-fitting lid…",bakeware,4,10,20,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202151/0467/le-creuset-stoneware-mini-round-cocotte-o.jpg,https://www.williams-sonoma.com/products/le-creuset-stoneware-mini-round-cocotte/
454280,Williams Sonoma Signature Thermo-Clad&amp;#8482; Stainless-Steel Saucepan,"We developed our new Thermo-Clad&amp;#8482; cookware drawing on over five decades of culinary experience, designing every element to provide years of great results in your kitchen. Available only at Williams Sonoma, Thermo-Clad&amp;#8482; is crafted in Italy…",cookware,4.625,16,99.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0299/williams-sonoma-signature-thermo-clad-stainless-steel-sauc-o.jpg,https://www.williams-sonoma.com/products/williams-sonoma-signature-thermo-clad-stainless-steel-saucepan/
9747717,Cuisinart Carbon Steel Wok and Bamboo Steamer Set,"We paired Cuisinart's large-capacity wok with a handmade bamboo steamer, so you have all the essentials you need for stir-frying and steaming one-dish meals. Crafted of preseasoned carbon steel, the wok heats up quickly and evenly, and has…",cookware,,,59.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202129/0002/img13o.jpg,https://www.williams-sonoma.com/products/cuisinart-wok-and-bamboo-steamer-set/
1802622,Fellow Stagg EKG Electric Pour-Over Kettle,"Take the guesswork out of heating water for pour-over coffee brewing. From the ingenious coffee enthusiasts at San Francisco startup Fellow, this electric kettle allows you to set your target water temperature and view its progress on an LCD screen.…",electrics,3.3333,33,159.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202145/0225/fellow-stagg-ekg-electric-pour-over-kettle-o.jpg,https://www.williams-sonoma.com/products/fellow-stagg-ekg-electric-pour-over-kettle/
8940442,Mauviel Copper M'150 B 5-Piece Cookware Set,"Since 1830, Mauviel handcrafted copper cookware has been a mainstay in the world's greatest kitchens. This essential five-piece set includes a fry pan, lidded saucepan and lidded saut&amp;#233; pan. Made in France, each piece pairs the unsurpassed heat…",cookware,4,3,900,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0103/img70o.jpg,https://www.williams-sonoma.com/products/mauviel-copper-5-piece-cookware-set-2015/
7072309,Le Creuset Signature Enameled Cast Iron Skillet Fry Pan,"Inspired by nearly a century of culinary craftsmanship, Le Creuset's Signature collection is an evolution of its enameled cast-iron cookware, blending classic form with ergonomic innovations. With its expansive surface and superior heat retention,…",cookware,3.9362,47,190,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202142/0015/le-creuset-signature-enameled-cast-iron-skillet-fry-pan-o.jpg,https://www.williams-sonoma.com/products/le-creuset-signature-fry-pan/
5559309,GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick 10&amp;quot; &amp;amp; 12&amp;quot; Fry Pan Set,"The pioneering company behind PFOA-free nonstick ceramic cookware, GreenPan&amp;#8482; elevates the art of healthy cooking with its innovative Premiere collection, formerly called Prestige. Each piece features the company's Diamond Advanced nonstick…",cookware,4.7328,262,99.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202131/0022/img74o.jpg,https://www.williams-sonoma.com/products/greenpan-premiere-fry-set-10-12-in/
7663303,"OPEN BOX: Chambers Linen Duvet Cover &amp;amp; Shams, King, Grey","Bring relaxed luxury to the bedroom. Becoming softer over time, our duvet covers and shams are sewn from the finest linen. The neutral-hued pieces layer easily with most solid-colored and patterned bedding to create a welcoming sanctuary.&amp;nbsp;",sale-special-offer,,,178.99,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202130/0157/img46o.jpg,https://www.williams-sonoma.com/products/open-box-chambers-linen-duvet-and-shams/
9635793,All-Clad NS1 Nonstick Induction 10-Piece Cookware Set,"All-Clad's latest kitchen innovation brings professional efficiency to everyday cooking. For top performance and ease of use, the NS1 collection combines the impressive heating ability and temperature control of anodized aluminum with rugged nonstick…",cookware,2.6429,14,499.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202147/0140/all-clad-ns1-nonstick-induction-10-piece-cookware-set-o.jpg,https://www.williams-sonoma.com/products/all-clad-ns1-nonstick-induction-10-piece-cookware-set/
1897631,Somerset Outdoor Teak Dining Side Chair,"Crafted from solid, unfinished premium teak, our stately dining chair brings relaxed elegance to outdoor gatherings. The wide, raked X-back and roomy plank seat offer enduring support, and the deeply grained wood will weather naturally over time.",home-outdoor,,,120,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0249/somerset-outdoor-teak-dining-side-chair-o.jpg,https://www.williams-sonoma.com/products/somerset-outdoor-dining-side-chair/
5582538,Twas the Night Salad Plates,"Celebrate the magic of the season with tableware inspired by the legendary 19th-century American poem &amp;quot;A Visit from St. Nicholas.&amp;quot; Decorated with ruffled rims and our vibrant, vintage-style artwork, these collectible porcelain salad plates…",tabletop-glassware-bar,,,10.99,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202141/0044/img21o.jpg,https://www.williams-sonoma.com/products/twas-the-night-nutcracker-salad-plates/
9125790,"All-Clad Pan Protectors, Set of 3","Protect the finish of your cookware with these thick, softly cushioned pads that layer between stacked pans to prevent scratches.",cookware,3.2,5,18.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202144/0016/all-clad-pan-protectors-set-of-3-1-o.jpg,https://www.williams-sonoma.com/products/all-clad-pan-protectors/
1871842,Enclume Wall-Mounted Narrow Bookshelf Rack,"Mounted to a wall, this sturdy grid does double duty as a shelf for cookbooks, baskets or bakeware and as a pot rack for cookware suspended below. Master craftsmen in the Pacific Northwest forge each rack, using traditional French metal-forming tools.",cookware,4.8,5,200,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0716/img11o.jpg,https://www.williams-sonoma.com/products/enclume-narrow-shelf-pot-rack/
3044480,Cuisinart 3-Qt. Electric Fondue Set,"Enjoy the ultimate fondue parties with this innovative set. Great for both savory and sweet fondues, the electric pot has a built-in heating element with an adjustable thermostat for precise control. Count on it for everything from classic cheese and…",cookware,4.7549,102,79.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0304/img67o.jpg,https://www.williams-sonoma.com/products/cuisinart-3-qt-electric-fondue-set/
9577429,GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick Outdoor/Indoor Covered Deep Skillet,"GreenPan&amp;#8482;, the pioneering company behind PFOA-free nonstick ceramic cookware, elevates the art of healthy cooking outdoors with a collection specially designed for gas grill cooking. Each piece is expertly crafted of hard-anodized aluminum with…",cookware,4.6667,21,99.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0596/greenpan-premiere-ceramic-nonstick-outdoor-indoor-covered--o.jpg,https://www.williams-sonoma.com/products/greenpan-revolution-outdoor-covered-deep-skillet/
5437348,Apilco Porcelain Ramekins,Our classic porcelain ramekins are wonderfully versatile. Use them to bake individual souffl&amp;#233;s (the straight sides promote rising) or to create chilled mousses; they're also great for cooking and serving vegetables and other side dishes.,bakeware,4.3846,13,14.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202145/0201/apilco-porcelain-ramekins-1-o.jpg,https://www.williams-sonoma.com/products/apilco-porcelain-ramekin/
8199000,Trisha Yearwood's Christmas in a Cup,"Mix up festive flavors with Trisha Yearwood, award-winning country music superstar and best-selling cookbook author. Trisha&amp;rsquo;s recipe for the ultimate holiday cocktail is a snap to make thanks to this signature mix &amp;ndash; a vibrant combination…",food,,,18.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0473/img63o.jpg,https://www.williams-sonoma.com/products/trisha-yearwood-christmas-in-a-cup/
2144954,Williams Sonoma Signature Thermo-Clad&amp;#8482; Stainless-Steel Stock Pot,"We developed our new Thermo-Clad&amp;#8482; cookware drawing on over five decades of culinary experience, designing every element to provide years of great results in your kitchen. Available only at Williams Sonoma, Thermo-Clad&amp;#8482; is crafted in Italy…",cookware,5,1,299.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0074/img77o.jpg,https://www.williams-sonoma.com/products/williams-sonoma-signature-thermo-clad-stainless-steel-stockpot/
4562094,Carbon Steel Round-Bottom Wok with Ring,"In Chinese kitchens, carbon steel woks are essential for high-heat stir-frying as well as simmering, steaming and deep-frying. Our wok is traditional in every way &amp;ndash; hand hammered of carbon steel, shaped with a rounded bottom and fitted with a…",cookware,3.1111,9,39.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202127/0202/img26o.jpg,https://www.williams-sonoma.com/products/traditional-wok-with-stick-handle/
7881866,Fellow Corvo EKG Electric Kettle,"Take the guesswork out of heating water to the perfect temperature for coffee and tea. Created by the ingenious coffee enthusiasts at San Francisco startup Fellow, this elegant matte-black electric kettle allows you to set the target water…",electrics,3,5,159.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202140/0083/img13o.jpg,https://www.williams-sonoma.com/products/fellow-corvo-ekg-electric-kettle/
6829183,Mauviel Copper Beating Bowl with Loop Handle,"More than simply beautiful, copper is considered the best performing of culinary materials. Professional chefs use unlined copper bowls like this one to whip egg whites to frothy peaks. Copper is the ideal material for this task as it reacts…",cooks-tools,4.2,5,100,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0050/mauviel-copper-beating-bowl-with-loop-handle-o.jpg,https://www.williams-sonoma.com/products/mauviel-copper-beating-bowl-loop-handle/
1782917,Lodge Blacklock Triple Seasoned Cast Iron Skillet,"As America&amp;rsquo;s oldest family-owned cast iron cookware foundry, Lodge has been producing cast iron pots and pans since 1896. Triple seasoned and ready to use, these lightweight cast iron fry pans heat evenly at a lower heat setting, making them ideal for searing and browning.",cookware,3.3846,13,29.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0849/lodge-blacklock-triple-seasoned-cast-iron-skillet-o.jpg,https://www.williams-sonoma.com/products/lodge-triple-seasoned-fry-pan/
8434699,"GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick Fry Pan, Set of 3","The pioneering company behind PFOA-free nonstick ceramic cookware, GreenPan&amp;#8482; elevates the art of healthy cooking with its innovative Premiere line (formerly known as Prestige). Each pan features the company's Diamond Advanced nonstick ceramic…",cookware,4.5833,12,189.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202151/0004/img76o.jpg,https://www.williams-sonoma.com/products/greenpan-premiere-fry-pan-set-3/
9456249,"OPEN BOX: Revol Caractere Salad Plates, Set of 4","Simple yet striking, this high-edge dinnerware from Revol transforms everyday meals into works of art. Crafted of durable black clay and finished in a range of earthy hues, these stackable salad plates are durable enough for oven-to-table use &amp;ndash;…",sale-special-offer,,,111.99,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202152/0047/img2o.jpg,https://www.williams-sonoma.com/products/open-box-revol-caractere-salad-plates/
310524,All-Clad D3 Tri-Ply Stainless-Steel 10-Piece Cookware Set,"Ideally suited for cooks of all skill levels, All-Clad's Tri-Ply Stainless-Steel cookware line pairs classic style with modern practicality. A capacity engraving on each pan's base makes picking the right size a snap, and an improved ergonomic handle…",cookware,4.6937,111,699.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0274/all-clad-d3-tri-ply-stainless-steel-10-piece-cookware-set-o.jpg,https://www.williams-sonoma.com/products/all-clad-tri-ply-stainless-steel-10-piece-cookware-set/
960760,Bridgehampton Outdoor Swivel Dining Side Chair,KEY DETAILS,home-outdoor,,,125,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0168/bridgehampton-outdoor-swivel-dining-side-chair-o.jpg,https://www.williams-sonoma.com/products/bridgehampton-outdoor-swivel-dining-side-chair/
9332299,"All-Clad HA1 2-Piece Glass Lid Set, 10&amp;quot; &amp;amp; 12&amp;quot;",Add versatility to your&amp;nbsp;All-Clad HA1 high-performance nonstick pan.&amp;nbsp;This lid helps lock in moisture for tender results. The tempered-glass construction allows you to monitor cooking progress without releasing the heat.,cookware,,,49.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202140/0349/img11o.jpg,https://www.williams-sonoma.com/products/all-clad-ha1-glass-lid-set/
5874516,Enclume Rolled-End Bar Wall-Mounted Pot Rack,"This long, sleek wall-mounted bar holds your favorite pieces of cookware in easy reach while taking up minimal space. It features hand-forged rolled ends that prevent pot hooks from sliding off. Each bar is made in the Pacific Northwest by the master…",cookware,,,65,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0474/img40o.jpg,https://www.williams-sonoma.com/products/enclume-rolled-end-bar/
4770798,Ruffoni Historia Hammered Copper Fondue Pot,"Legend has it that fondue originated when a shepherd in the Swiss Alps heated his dinner of wine and cheese in a pot to eat with his bread. Our heavy-gauge copper pot, handcrafted in Italy, is designed for both sweet and savory fondues.",cookware,4.4,5,380,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0117/img62o.jpg,https://www.williams-sonoma.com/products/ruffoni-hammered-copper-fondue-pot/
3245249,"GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick Outdoor/Indoor Square Grill Pan, 11&amp;quot;","GreenPan&amp;#8482;, the pioneering company behind PFOA-free nonstick ceramic cookware, elevates the art of healthy cooking outdoors with a collection specially designed for gas grill cooking. Each piece is expertly crafted of hard-anodized aluminum with…",outdoor,4.75,16,89.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0591/greenpan-premiere-ceramic-nonstick-outdoor-indoor-square-g-1-o.jpg,https://www.williams-sonoma.com/products/greenpan-revolution-outdoor-square-grill-pan/
2507226,"Staub Enameled Cast Iron Mini Round Cocotte Set, 1/4-Qt.","Staub's innovative enamel coating takes cast-iron cooking to the next level with improved performance, style and durability. Bring single servings of beans, macaroni and cheese, and fruit cobblers directly from the oven to the table in these mini cocottes.",bakeware,5,5,199.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0081/img8o.jpg,https://www.williams-sonoma.com/products/staub-mini-round-cocotte-set/
9905759,Williams Sonoma Olivewood Straight Icing Spatula,Pastry chefs rely on straight spatulas for everything from spreading ganaches and buttercream to arranging cake layers. Our spatulas have firm but flexible stainless-steel blades with rounded tips that help spread batter to the edges of round pans.…,cooks-tools,,,19.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0091/img69o.jpg,https://www.williams-sonoma.com/products/williams-sonoma-olivewood-straight-icing-spatula/
3091351,Snowman Salt and Pepper Set,"Our carved wood shaker and mill set enlivens the holiday table with the unique charm of vintage originals. Crafted in Maine by skilled artisans at the venerable Fletcher's Mill, they're made of sustainable American maple wood with hand painted and…",cooks-tools,4.75,4,79.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0494/img31o.jpg,https://www.williams-sonoma.com/products/snowman-salt-pepper-set/
4209172,Williams Sonoma Thermo-Clad&amp;#8482; Signature Stainless-Steel Nonstick Fry Pan Set,"We developed our new Thermo-Clad&amp;#8482; cookware drawing on over five decades of culinary experience, designing every element to provide years of great results in your kitchen. Available only at Williams Sonoma, Thermo-Clad&amp;#8482; is crafted in Italy…",cookware,1,2,179.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0011/williams-sonoma-thermo-clad-signature-stainless-steel-nons-o.jpg,https://www.williams-sonoma.com/products/williams-sonoma-signature-stainless-steel-nonstick-fry-pan-set/
18778,De Buyer Mineral B Pro Carbon Steel Fry Pan,"Peek into the kitchen of a French restaurant and you'll see carbon steel pans hanging above the stoves. Traditional French omelette and cr&amp;#234;pe pans are always made of carbon steel because they're lighter and thinner than cast iron, yet heat up…",cookware,,,84.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0023/img37o.jpg,https://www.williams-sonoma.com/products/de-buyer-mineral-b-pro-fry-pan/
2358562,Le Creuset Classic Demi Teakettle,"Le Creuset makes this classic kettle with the same good looks and quality craftsmanship that have made its cookware a kitchen staple. The kettle won&amp;rsquo;t corrode with time and conducts heat efficiently and evenly, boiling water quickly.",electrics,3.6818,22,56.25,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202145/0232/le-creuset-classic-demi-teakettle-1-o.jpg,https://www.williams-sonoma.com/products/le-creuset-demi-teakettle/
2769651,All-Clad Copper Core Fry Pans,"The copper core of this pan is incredibly responsive to heat, making this piece perfect for frying foods and cooking omelettes, or creating delicate sauces and reductions.",cookware,4.5577,52,149.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0257/all-clad-copper-core-fry-pans-3-o.jpg,https://www.williams-sonoma.com/products/all-clad-copper-core-fry-pan/
9554569,Le Creuset Signature Enameled Cast Iron Oval Dutch Oven,"Inspired by nearly a century of culinary craftsmanship, Le Creuset is proud to present the Signature collection as the next evolution of its enameled cast-iron cookware. Signature seamlessly blends Le Creuset's classic form and feel with the latest ergonomic and functional innovations.",cookware,4.8788,33,299.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202151/0391/le-creuset-signature-enameled-cast-iron-oval-dutch-oven-1-o.jpg,https://www.williams-sonoma.com/products/le-creuset-signature-oval-dutch-oven/
803094,GreenPan&amp;#8482; Premiere Stainless-Steel Ceramic Nonstick 8&amp;quot; &amp;amp; 10&amp;quot; Fry Pan Set,"The pioneering company behind PFOA-free nonstick ceramic cookware, GreenPan&amp;#8482; elevates the art of healthy cooking with its innovative Premiere collection, formerly called Prestige. Each piece features the company's Diamond Advanced nonstick…",cookware,4.6324,272,99.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202132/0567/greenpanpremiere-ceramic-nonstick-8-10-fry-pan-set-1-o.jpg,https://www.williams-sonoma.com/products/greenpan-premiere-fry-set-8-10-in/
4152682,Open Kitchen by Williams Sonoma Stainless-Steel 10-Piece Cookware Set,"Inspired by the open kitchens at our favorite restaurants, we created this high-quality, hard-working and affordable cookware to use every single day. Our lightweight three-layer bonded stainless-steel cookware achieves the ideal balance of…",cookware,4.0769,13,299.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/1310/open-kitchen-by-williams-sonoma-stainless-steel-10-piece-c-o.jpg,https://www.williams-sonoma.com/products/ws-open-kitchen-stainless-steel-10-piece-cookware-set/
7761358,Organic Cocoon Blanket,"Relaxed yet elegant, our organic cotton blanket has a ribbed, layered look that's achieved through a special weaving technique. Exceptionally soft and breathable, it makes a perfect top layer on the bed and doubles as a cozy, sharable throw.&amp;nbsp;",home-bedding,,,89.99,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0326/img45o.jpg,https://www.williams-sonoma.com/products/cocoon-organic-cotton-throw/
3512822,"GreenPan&amp;#8482; Melamine Sponges, Set of 2","Ceramic nonstick pans are usually easy to clean, but over time, they can accumulate food residue and carbonization buildup. To restore your pan so it looks like new, use these highly absorbent, nonabrasive melamine sponges. Just wet one and wipe the pan &amp;ndash; no soap needed.",cookware,,,4.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202134/0117/img1o.jpg,https://www.williams-sonoma.com/products/greenpan-gift-with-purchase-sponge-set-of-2/
1200575,"Vitamix A3500 Ascent Series Blender, White","The powerhouse of the Vitamix blender family, the A3500 blender is intelligently designed inside and out. The machine offers five smart program settings that automatically detect the size of the container in use, so foods are perfectly blended…",electrics,4.7798,2125,524.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0131/vitamix-a3500-ascent-series-blender-white-o.jpg,https://www.williams-sonoma.com/products/vitamix-a3500-ascent-series-blender-white/
8945206,"Enclume Low-Ceiling Bar Pot Racks, Hammered Steel","This streamlined rack holds cookware in a single line, providing impressive display while keeping pots and pans within easy reach of the cook. Designed to hold the heaviest pots and pans, the rack is hand forged in the Pacific Northwest by the master…",cookware,,,140,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0816/img47o.jpg,https://www.williams-sonoma.com/products/enclume-low-ceiling-bar-pot-rack/
4782827,Mauviel Copper Fondue Pot with Stand,"Crafted in France since 1830, Mauviel&amp;rsquo;s culinary legacy spans more than 175 years, making their trademark cookware a favorite in leading restaurants and home kitchens worldwide. Mauviel cookware is made of copper, a material prized for its…",cookware,3,2,770,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202139/0096/img39o.jpg,https://www.williams-sonoma.com/products/mauviel-copper-fondue-pot-with-stand/
1755559,All-Clad Outdoor Stainless-Steel 3-Piece Cookware Set,"All-Clad brings its high-performance cookware outdoors. Each piece is crafted of brushed stainless steel with large perforations to circulate heat and impart delicious, smoky flavor to a wide range of food. Side handles enable safe and easy lifting…",outdoor,4.5333,15,219.95,https://assets.wsimgs.com/wsimgs/ab/images/dp/wcm/202143/0341/img1o.jpg,https://www.williams-sonoma.com/products/all-clad-outdoor-3-piece-set/
